valid_time,latitude,longitude,mean_t2m
31-07-24,18.8,72.8,299.8971
01-08-24,19.05,72.8,300.17984
01-08-24,18.8,72.8,299.93164
02-08-24,19.05,72.8,299.85654
02-08-24,18.8,72.8,299.5955
03-08-24,19.05,72.8,299.8494
03-08-24,18.8,72.8,299.7146
04-08-24,19.05,72.8,300.00443
04-08-24,18.8,72.8,299.87503
05-08-24,19.05,72.8,300.30295
05-08-24,18.8,72.8,300.12518
06-08-24,19.05,72.8,300.2369
06-08-24,18.8,72.8,300.062
07-08-24,19.05,72.8,300.42606
07-08-24,18.8,72.8,300.16675
08-08-24,19.05,72.8,300.25482
08-08-24,18.8,72.8,299.97827
09-08-24,19.05,72.8,300.0671
09-08-24,18.8,72.8,299.8582
10-08-24,19.05,72.8,300.1313
10-08-24,18.8,72.8,299.97812
11-08-24,19.05,72.8,300.96634
11-08-24,18.8,72.8,300.82935
12-08-24,19.05,72.8,300.62286
12-08-24,18.8,72.8,300.4857
13-08-24,19.05,72.8,300.8184
13-08-24,18.8,72.8,300.70773
14-08-24,19.05,72.8,301.0682
14-08-24,18.8,72.8,300.91406
15-08-24,19.05,72.8,301.05212
15-08-24,18.8,72.8,300.88184
16-08-24,19.05,72.8,301.187
16-08-24,18.8,72.8,301.01633
17-08-24,19.05,72.8,301.2825
17-08-24,18.8,72.8,301.10092
18-08-24,19.05,72.8,301.2808
18-08-24,18.8,72.8,301.0849
19-08-24,19.05,72.8,301.4852
19-08-24,18.8,72.8,301.1882
20-08-24,19.05,72.8,301.3253
20-08-24,18.8,72.8,300.9904
21-08-24,19.05,72.8,301.4657
21-08-24,18.8,72.8,301.23093
22-08-24,19.05,72.8,301.57498
22-08-24,18.8,72.8,301.33743
23-08-24,19.05,72.8,301.0213
23-08-24,18.8,72.8,300.83817
24-08-24,19.05,72.8,300.03696
24-08-24,18.8,72.8,299.8812
25-08-24,19.05,72.8,299.8371
25-08-24,18.8,72.8,299.75314
26-08-24,19.05,72.8,300.0853
26-08-24,18.8,72.8,299.74295
27-08-24,19.05,72.8,299.8077
27-08-24,18.8,72.8,299.6771
28-08-24,19.05,72.8,300.79605
28-08-24,18.8,72.8,300.64777
29-08-24,19.05,72.8,300.92328
29-08-24,18.8,72.8,300.7158
30-08-24,19.05,72.8,300.54544
30-08-24,18.8,72.8,300.34018
31-08-24,19.05,72.8,300.67007
31-08-24,18.8,72.8,300.35526
01-09-24,19.05,72.8,300.55698
01-09-24,18.8,72.8,300.25974
02-09-24,19.05,72.8,300.39407
02-09-24,18.8,72.8,300.29648
03-09-24,19.05,72.8,300.22696
03-09-24,18.8,72.8,300.05658
04-09-24,19.05,72.8,299.75797
04-09-24,18.8,72.8,299.5747
05-09-24,19.05,72.8,299.88034
05-09-24,18.8,72.8,299.64462
06-09-24,19.05,72.8,299.93198
06-09-24,18.8,72.8,299.87515
07-09-24,19.05,72.8,299.8267
07-09-24,18.8,72.8,299.63272
08-09-24,19.05,72.8,299.97696
08-09-24,18.8,72.8,299.791
09-09-24,19.05,72.8,300.08725
09-09-24,18.8,72.8,299.82748
10-09-24,19.05,72.8,300.08685
