valid_time,latitude,longitude,mean_tp
20-08-24,18.8,72.8,0.000342823
21-08-24,19.05,72.8,4.76E-05
21-08-24,18.8,72.8,2.70E-05
22-08-24,19.05,72.8,6.62E-05
22-08-24,18.8,72.8,4.68E-05
23-08-24,19.05,72.8,0.001264146
23-08-24,18.8,72.8,0.000778348
24-08-24,19.05,72.8,0.00386985
24-08-24,18.8,72.8,0.003908503
25-08-24,19.05,72.8,0.001276708
25-08-24,18.8,72.8,0.001578331
26-08-24,19.05,72.8,0.000885157
26-08-24,18.8,72.8,0.00088321
27-08-24,19.05,72.8,0.000598718
27-08-24,18.8,72.8,0.000699447
28-08-24,19.05,72.8,0.000415176
28-08-24,18.8,72.8,0.000462953
29-08-24,19.05,72.8,0.000284056
29-08-24,18.8,72.8,0.000294648
30-08-24,19.05,72.8,0.000271139
30-08-24,18.8,72.8,0.000278841
31-08-24,19.05,72.8,0.000162827
31-08-24,18.8,72.8,0.000194982
01-09-24,19.05,72.8,1.00E-04
01-09-24,18.8,72.8,0.000124784
02-09-24,19.05,72.8,0.001177239
02-09-24,18.8,72.8,0.00117831
03-09-24,19.05,72.8,0.000371086
03-09-24,18.8,72.8,0.000428679
04-09-24,19.05,72.8,0.00048859
04-09-24,18.8,72.8,0.000572858
05-09-24,19.05,72.8,0.0010136
05-09-24,18.8,72.8,0.000977764
06-09-24,19.05,72.8,0.000458226
06-09-24,18.8,72.8,0.000488241
07-09-24,19.05,72.8,0.000281315
07-09-24,18.8,72.8,0.000311125
08-09-24,19.05,72.8,0.000171547
08-09-24,18.8,72.8,0.00018646
09-09-24,19.05,72.8,0.000219506
09-09-24,18.8,72.8,0.000248765
10-09-24,19.05,72.8,0.000294868
10-09-24,18.8,72.8,0.000272194
11-09-24,19.05,72.8,0.00032024
11-09-24,18.8,72.8,0.000354428
12-09-24,19.05,72.8,0.000240129
12-09-24,18.8,72.8,0.000251726
13-09-24,19.05,72.8,0.000147362
13-09-24,18.8,72.8,0.000158998
14-09-24,19.05,72.8,0.000187882
14-09-24,18.8,72.8,0.000179437
15-09-24,19.05,72.8,0.000209787
15-09-24,18.8,72.8,0.000231484
16-09-24,19.05,72.8,0.000150867
16-09-24,18.8,72.8,0.000146747
17-09-24,19.05,72.8,9.33E-05
17-09-24,18.8,72.8,8.51E-05
18-09-24,19.05,72.8,5.61E-05
18-09-24,18.8,72.8,7.03E-05
19-09-24,19.05,72.8,2.44E-05
19-09-24,18.8,72.8,1.73E-05
20-09-24,19.05,72.8,6.29E-05
20-09-24,18.8,72.8,5.83E-05
21-09-24,19.05,72.8,6.31E-05
21-09-24,18.8,72.8,5.11E-05
22-09-24,19.05,72.8,7.86E-05
22-09-24,18.8,72.8,7.30E-05
23-09-24,19.05,72.8,0.000209788
23-09-24,18.8,72.8,0.000169782
24-09-24,19.05,72.8,0.000924552
24-09-24,18.8,72.8,0.000842158
25-09-24,19.05,72.8,0.001777644
25-09-24,18.8,72.8,0.001777253
26-09-24,19.05,72.8,0.002350494
