valid_time,latitude,longitude,msl,number
2022-10-18,19.05,72.8,101119.71,0
2022-10-18,18.8,72.8,101122.97,0
2022-10-19,19.05,72.8,101079.98,0
2022-10-19,18.8,72.8,101082.1,0
2022-10-20,19.05,72.8,101095.53,0
2022-10-20,18.8,72.8,101096.51,0
2022-10-21,19.05,72.8,101204.62,0
2022-10-21,18.8,72.8,101204.336,0
2022-10-22,19.05,72.8,101320.97,0
2022-10-22,18.8,72.8,101317.81,0
2022-10-23,19.05,72.8,101317.664,0
2022-10-23,18.8,72.8,101310.56,0
2022-10-24,19.05,72.8,101141.164,0
2022-10-24,18.8,72.8,101140.74,0
2022-10-25,19.05,72.8,101154.01,0
2022-10-25,18.8,72.8,101155.68,0
2022-10-26,19.05,72.8,101288.76,0
2022-10-26,18.8,72.8,101284.19,0
2022-10-27,19.05,72.8,101262.53,0
2022-10-27,18.8,72.8,101258.66,0
2022-10-28,19.05,72.8,101205.73,0
2022-10-28,18.8,72.8,101201.02,0
2022-10-29,19.05,72.8,101178.29,0
2022-10-29,18.8,72.8,101172.125,0
2022-10-30,19.05,72.8,101216.94,0
2022-10-30,18.8,72.8,101207.164,0
2022-10-31,19.05,72.8,101171.22,0
2022-10-31,18.8,72.8,101164.63,0
2022-11-01,19.05,72.8,101242.68,0
2022-11-01,18.8,72.8,101232.87,0
2022-11-02,19.05,72.8,101188.15,0
2022-11-02,18.8,72.8,101179.91,0
2022-11-03,19.05,72.8,101131.375,0
2022-11-03,18.8,72.8,101122.27,0
2022-11-04,19.05,72.8,101206.81,0
2022-11-04,18.8,72.8,101197.26,0
2022-11-05,19.05,72.8,101318.93,0
2022-11-05,18.8,72.8,101308.98,0
2022-11-06,19.05,72.8,101372.4,0
2022-11-06,18.8,72.8,101364.47,0
2022-11-07,19.05,72.8,101343.04,0
2022-11-07,18.8,72.8,101340.25,0
2022-11-08,19.05,72.8,101317.57,0
2022-11-08,18.8,72.8,101312.07,0
2022-11-09,19.05,72.8,101291.37,0
2022-11-09,18.8,72.8,101287.87,0
2022-11-10,19.05,72.8,101325.26,0
2022-11-10,18.8,72.8,101316.47,0
2022-11-11,19.05,72.8,101335.414,0
2022-11-11,18.8,72.8,101320.15,0
2022-11-12,19.05,72.8,101319.086,0
2022-11-12,18.8,72.8,101303.59,0
